Sample	Library	Std	Kind	Length	Occurences
SM	LB	+	pe	19	6
SM	LB	+	pe	20	6
SM	LB	+	pe	21	3
SM	LB	+	pe	22	6
SM	LB	+	pe	23	1
SM	LB	+	pe	24	6
SM	LB	+	pe	25	3
SM	LB	+	pe	26	7
SM	LB	+	pe	27	5
SM	LB	+	pe	28	2
SM	LB	+	pe	29	16
SM	LB	+	pe	30	8
SM	LB	+	pe	31	2
SM	LB	+	pe	32	1
SM	LB	+	pe	35	1
SM	LB	-	pe	19	6
SM	LB	-	pe	20	4
SM	LB	-	pe	21	2
SM	LB	-	pe	22	3
SM	LB	-	pe	23	5
SM	LB	-	pe	24	6
SM	LB	-	pe	25	3
SM	LB	-	pe	26	5
SM	LB	-	pe	27	5
SM	LB	-	pe	28	5
SM	LB	-	pe	29	16
SM	LB	-	pe	30	16
SM	LB	-	pe	31	1
SM	LB	-	pe	37	1
SM	LB	-	pe	38	1
SM	LB	-	pe	41	1
SM	LB	+	se	30	150
SM	LB	+	se	31	195
SM	LB	+	se	32	160
SM	LB	+	se	33	160
SM	LB	+	se	34	143
SM	LB	+	se	35	156
SM	LB	+	se	36	128
SM	LB	+	se	37	113
SM	LB	+	se	38	85
SM	LB	+	se	39	77
SM	LB	+	se	40	55
SM	LB	+	se	41	58
SM	LB	+	se	42	58
SM	LB	+	se	43	28
SM	LB	+	se	44	47
SM	LB	+	se	45	29
SM	LB	+	se	46	29
SM	LB	+	se	47	21
SM	LB	+	se	48	10
SM	LB	+	se	49	15
SM	LB	+	se	50	12
SM	LB	+	se	51	12
SM	LB	+	se	52	11
SM	LB	+	se	53	11
SM	LB	+	se	54	7
SM	LB	+	se	55	15
SM	LB	+	se	56	9
SM	LB	+	se	57	8
SM	LB	+	se	58	6
SM	LB	+	se	59	7
SM	LB	+	se	60	4
SM	LB	+	se	61	5
SM	LB	+	se	62	6
SM	LB	+	se	63	4
SM	LB	+	se	64	5
SM	LB	+	se	65	3
SM	LB	+	se	66	1
SM	LB	+	se	67	2
SM	LB	+	se	69	1
SM	LB	+	se	70	1
SM	LB	+	se	71	1
SM	LB	+	se	74	1
SM	LB	+	se	79	1
SM	LB	+	se	89	1
SM	LB	+	se	101	1
SM	LB	-	se	30	154
SM	LB	-	se	31	200
SM	LB	-	se	32	167
SM	LB	-	se	33	160
SM	LB	-	se	34	112
SM	LB	-	se	35	149
SM	LB	-	se	36	97
SM	LB	-	se	37	129
SM	LB	-	se	38	92
SM	LB	-	se	39	68
SM	LB	-	se	40	69
SM	LB	-	se	41	57
SM	LB	-	se	42	57
SM	LB	-	se	43	46
SM	LB	-	se	44	32
SM	LB	-	se	45	35
SM	LB	-	se	46	33
SM	LB	-	se	47	28
SM	LB	-	se	48	33
SM	LB	-	se	49	19
SM	LB	-	se	50	18
SM	LB	-	se	51	15
SM	LB	-	se	52	12
SM	LB	-	se	53	12
SM	LB	-	se	54	7
SM	LB	-	se	55	5
SM	LB	-	se	56	14
SM	LB	-	se	57	7
SM	LB	-	se	58	5
SM	LB	-	se	59	5
SM	LB	-	se	60	5
SM	LB	-	se	61	5
SM	LB	-	se	62	7
SM	LB	-	se	63	2
SM	LB	-	se	64	2
SM	LB	-	se	65	1
SM	LB	-	se	66	2
SM	LB	-	se	67	2
SM	LB	-	se	68	3
SM	LB	-	se	70	2
SM	LB	-	se	74	1
SM	LB	-	se	76	1
SM	LB	-	se	77	1
SM	LB	-	se	80	1
SM	LB	-	se	81	2
